time_stamp,Long,Long_original,Short,reg_2,DA_price,imb_price_NaN
2024-01-01 00:00:00+01:00,50.0,-46.72,83.22,0,0.1,
2024-01-01 00:15:00+01:00,76.91,76.91,76.91,1,0.1,76.91
2024-01-01 00:30:00+01:00,66.91,66.91,66.91,1,0.1,66.91
2024-01-01 00:45:00+01:00,66.91,66.91,66.91,1,0.1,66.91
2024-01-01 01:00:00+01:00,81.13,81.13,81.13,1,0.01,81.13
2024-01-01 01:15:00+01:00,50.0,-17.8,76.91,0,0.01,
2024-01-01 01:30:00+01:00,50.0,-8.81,82.79,0,0.01,
2024-01-01 01:45:00+01:00,50.0,-26.1,73.68,0,0.01,
2024-01-01 02:00:00+01:00,50.0,-31.85,94.13,0,0.0,
2024-01-01 02:15:00+01:00,73.66,73.66,73.66,1,0.0,73.66
2024-01-01 02:30:00+01:00,-8.81,-8.81,-8.81,1,0.0,-8.81
2024-01-01 02:45:00+01:00,50.0,-28.42,87.47,0,0.0,
2024-01-01 03:00:00+01:00,78.11,78.11,78.11,1,-0.01,78.11
2024-01-01 03:15:00+01:00,64.9,64.9,64.9,1,-0.01,64.9
2024-01-01 03:30:00+01:00,-17.8,-17.8,-17.8,1,-0.01,-17.8
2024-01-01 03:45:00+01:00,50.0,-45.33,85.2,0,-0.01,
2024-01-01 04:00:00+01:00,50.0,-37.54,104.51,0,-0.03,
2024-01-01 04:15:00+01:00,28.05,28.05,28.05,1,-0.03,28.05
2024-01-01 04:30:00+01:00,50.0,-8.81,79.05,0,-0.03,
2024-01-01 04:45:00+01:00,-8.81,-8.81,-8.81,1,-0.03,-8.81
2024-01-01 05:00:00+01:00,28.05,28.05,28.05,1,-0.02,28.05
2024-01-01 05:15:00+01:00,-27.32,-27.32,-27.32,1,-0.02,-27.32
2024-01-01 05:30:00+01:00,-30.3,-30.3,-30.3,1,-0.02,-30.3
2024-01-01 05:45:00+01:00,-28.42,-28.42,-28.42,1,-0.02,-28.42
2024-01-01 06:00:00+01:00,50.0,-73.38,70.31,0,-0.05,
2024-01-01 06:15:00+01:00,27.07,27.07,27.07,1,-0.05,27.07
2024-01-01 06:30:00+01:00,77.11,77.11,77.11,1,-0.05,77.11
2024-01-01 06:45:00+01:00,73.66,73.66,73.66,1,-0.05,73.66
2024-01-01 07:00:00+01:00,86.13,86.13,86.13,1,-0.02,86.13
2024-01-01 07:15:00+01:00,50.0,-77.88,62.99,0,-0.02,
2024-01-01 07:30:00+01:00,-29.99,-29.99,-29.99,1,-0.02,-29.99
2024-01-01 07:45:00+01:00,64.32,64.32,64.32,1,-0.02,64.32
2024-01-01 08:00:00+01:00,50.0,-83.43,64.91,0,0.0,
2024-01-01 08:15:00+01:00,-55.88,-55.88,-55.88,1,0.0,-55.88
2024-01-01 08:30:00+01:00,-60.7,-60.7,-60.7,1,0.0,-60.7
2024-01-01 08:45:00+01:00,-166.18,-166.18,-166.18,1,0.0,-166.18
2024-01-01 09:00:00+01:00,-45.56,-45.56,-45.56,1,0.04,-45.56
2024-01-01 09:15:00+01:00,28.05,28.05,28.05,1,0.04,28.05
2024-01-01 09:30:00+01:00,-8.81,-8.81,-8.81,1,0.04,-8.81
2024-01-01 09:45:00+01:00,-14.87,-14.87,-14.87,1,0.04,-14.87
2024-01-01 10:00:00+01:00,-8.81,-8.81,-8.81,1,0.06,-8.81
2024-01-01 10:15:00+01:00,-8.81,-8.81,-8.81,1,0.06,-8.81
2024-01-01 10:30:00+01:00,-17.19,-17.19,-17.19,1,0.06,-17.19
