,hour,Ein,Eout,lbmp,charge_state,time_stamp,revenue,charge_cost,profit
0,0,0.0,50.0,50.0,200.0,2024-01-01 00:00:00+01:00,2.5,0.0,2.5
1,1,0.0,50.0,76.91,145.767385545336,2024-01-01 00:15:00+01:00,3.8455,0.0,3.8455
2,2,0.0,36.8908891458579,66.91,91.5347710906719,2024-01-01 00:30:00+01:00,2.4683693927493517,0.0,2.4683693927493517
3,3,0.0,0.0,66.91,51.5209837319307,2024-01-01 00:45:00+01:00,0.0,0.0,0.0
4,4,0.0,47.4999999999999,81.13,51.5209837319307,2024-01-01 01:00:00+01:00,3.8536749999999915,0.0,3.8536749999999915
5,5,0.0,0.0,50.0,0.0,2024-01-01 01:15:00+01:00,0.0,0.0,0.0
6,6,0.0,0.0,50.0,0.0,2024-01-01 01:30:00+01:00,0.0,0.0,0.0
7,7,0.0,0.0,50.0,0.0,2024-01-01 01:45:00+01:00,0.0,0.0,0.0
8,8,0.0,0.0,50.0,0.0,2024-01-01 02:00:00+01:00,0.0,0.0,0.0
9,9,0.0,0.0,73.66,0.0,2024-01-01 02:15:00+01:00,0.0,0.0,0.0
10,10,50.0,0.0,-8.81,0.0,2024-01-01 02:30:00+01:00,-0.0,-0.4405,0.4405
11,11,0.0,0.0,50.0,46.0977222864644,2024-01-01 02:45:00+01:00,0.0,0.0,0.0
12,12,0.0,42.5,78.11,46.0977222864644,2024-01-01 03:00:00+01:00,3.319675,0.0,3.319675
13,13,0.0,0.0,64.9,0.0,2024-01-01 03:15:00+01:00,0.0,0.0,0.0
14,14,26.4705882352941,0.0,-17.8,0.0,2024-01-01 03:30:00+01:00,-0.0,-0.47117647058823503,0.47117647058823503
15,15,0.0,0.0,50.0,24.4046765045988,2024-01-01 03:45:00+01:00,0.0,0.0,0.0
16,16,0.0,0.0,50.0,24.4046765045988,2024-01-01 04:00:00+01:00,0.0,0.0,0.0
17,17,0.0,0.0,28.05,24.4046765045988,2024-01-01 04:15:00+01:00,0.0,0.0,0.0
18,18,0.0,0.0,50.0,24.4046765045988,2024-01-01 04:30:00+01:00,0.0,0.0,0.0
19,19,0.0,0.0,-8.81,24.4046765045988,2024-01-01 04:45:00+01:00,-0.0,-0.0,0.0
20,20,0.0,0.0,28.05,24.4046765045988,2024-01-01 05:00:00+01:00,0.0,0.0,0.0
21,21,50.0,0.0,-27.32,24.4046765045988,2024-01-01 05:15:00+01:00,-0.0,-1.366,1.366
22,22,50.0,0.0,-30.3,70.5023987910633,2024-01-01 05:30:00+01:00,-0.0,-1.515,1.515
23,23,50.0,0.0,-28.42,116.600121077528,2024-01-01 05:45:00+01:00,-0.0,-1.421,1.421
24,24,0.0,0.0,50.0,162.697843363992,2024-01-01 06:00:00+01:00,0.0,0.0,0.0
25,25,0.0,0.0,27.07,162.697843363992,2024-01-01 06:15:00+01:00,0.0,0.0,0.0
26,26,0.0,50.0,77.11,162.697843363992,2024-01-01 06:30:00+01:00,3.8555,0.0,3.8555
27,27,0.0,50.0,73.66,108.465228909328,2024-01-01 06:45:00+01:00,3.683,0.0,3.683
28,28,0.0,50.0,86.13,54.232614454664,2024-01-01 07:00:00+01:00,4.3065,0.0,4.3065
29,29,0.0,0.0,50.0,0.0,2024-01-01 07:15:00+01:00,0.0,0.0,0.0
30,30,50.0,0.0,-29.99,0.0,2024-01-01 07:30:00+01:00,-0.0,-1.4995,1.4995
31,31,0.0,10.0000000000001,64.32,46.0977222864644,2024-01-01 07:45:00+01:00,0.6432000000000063,0.0,0.6432000000000063
32,32,0.0,0.0,50.0,35.2511993955315,2024-01-01 08:00:00+01:00,0.0,0.0,0.0
