,hour,Ein,Eout,lbmp,charge_state,time_stamp,revenue,charge_cost,profit
0,0,25.0,0.0,-209.4,100.0,2023-01-01 00:00:00+01:00,-0.0,-5.235,5.235
1,1,22.4171240318484,0.0,-23.3,123.048861143232,2023-01-01 00:15:00+01:00,-0.0,-0.5223189899420677,0.5223189899420677
2,2,25.0,0.0,-25.62,143.71642830486,2023-01-01 00:30:00+01:00,-0.0,-0.6405,0.6405
3,3,25.0,0.0,-40.62,166.765289448092,2023-01-01 00:45:00+01:00,-0.0,-1.0154999999999998,1.0154999999999998
4,4,0.0,25.0,32.78,189.814150591324,2023-01-01 01:00:00+01:00,0.8195,0.0,0.8195
5,5,0.0,25.0,35.06,162.697843363992,2023-01-01 01:15:00+01:00,0.8765,0.0,0.8765
6,6,0.0,25.0,30.0,135.58153613666,2023-01-01 01:30:00+01:00,0.75,0.0,0.75
7,7,0.0,25.0,30.0,108.465228909328,2023-01-01 01:45:00+01:00,0.75,0.0,0.75
8,8,0.0,25.0,30.0,81.3489216819961,2023-01-01 02:00:00+01:00,0.75,0.0,0.75
9,9,0.0,25.0,30.0,54.232614454664,2023-01-01 02:15:00+01:00,0.75,0.0,0.75
10,10,0.0,25.0,30.0,27.116307227332,2023-01-01 02:30:00+01:00,0.75,0.0,0.75
11,11,0.0,0.0,-10.46,0.0,2023-01-01 02:45:00+01:00,-0.0,-0.0,0.0
12,12,0.0,0.0,-23.07,0.0,2023-01-01 03:00:00+01:00,-0.0,-0.0,0.0
13,13,0.0,0.0,-14.19,0.0,2023-01-01 03:15:00+01:00,-0.0,-0.0,0.0
14,14,-0.0,0.0,-27.69,0.0,2023-01-01 03:30:00+01:00,-0.0,0.0,-0.0
15,15,0.0,0.0,-20.19,0.0,2023-01-01 03:45:00+01:00,-0.0,-0.0,0.0
16,16,0.0,0.0,-21.47,0.0,2023-01-01 04:00:00+01:00,-0.0,-0.0,0.0
17,17,0.0,0.0,-22.27,0.0,2023-01-01 04:15:00+01:00,-0.0,-0.0,0.0
18,18,0.0,0.0,-21.18,0.0,2023-01-01 04:30:00+01:00,-0.0,-0.0,0.0
19,19,-0.0,0.0,-31.62,0.0,2023-01-01 04:45:00+01:00,-0.0,0.0,-0.0
20,20,-0.0,0.0,-44.67,0.0,2023-01-01 05:00:00+01:00,-0.0,0.0,-0.0
21,21,0.0,0.0,-30.93,0.0,2023-01-01 05:15:00+01:00,-0.0,-0.0,0.0
22,22,0.0,0.0,-20.66,0.0,2023-01-01 05:30:00+01:00,-0.0,-0.0,0.0
23,23,0.0,0.0,-20.64,0.0,2023-01-01 05:45:00+01:00,-0.0,-0.0,0.0
24,24,0.0,0.0,-36.91,0.0,2023-01-01 06:00:00+01:00,-0.0,-0.0,0.0
25,25,0.0,0.0,-14.85,0.0,2023-01-01 06:15:00+01:00,-0.0,-0.0,0.0
26,26,0.0,0.0,-10.62,0.0,2023-01-01 06:30:00+01:00,-0.0,-0.0,0.0
27,27,25.0,0.0,-357.5,0.0,2023-01-01 06:45:00+01:00,-0.0,-8.9375,8.9375
28,28,25.0,0.0,-301.67,23.0488611432322,2023-01-01 07:00:00+01:00,-0.0,-7.54175,7.54175
29,29,25.0,0.0,-147.94,46.0977222864644,2023-01-01 07:15:00+01:00,-0.0,-3.6985,3.6985
30,30,0.0,0.0,-59.18,69.1465834296967,2023-01-01 07:30:00+01:00,-0.0,-0.0,0.0
31,31,0.0,0.0,-54.1,69.1465834296967,2023-01-01 07:45:00+01:00,-0.0,-0.0,0.0
