,hour,Ein,Eout,lbmp,charge_state,time_stamp,revenue,charge_cost,profit
0,0,0.0,25.0,50.0,100.0,2024-01-01 00:00:00+01:00,1.25,0.0,1.25
1,1,0.0,25.0,76.91,72.883692772668,2024-01-01 00:15:00+01:00,1.92275,0.0,1.92275
2,2,0.0,0.0,66.91,45.767385545336,2024-01-01 00:30:00+01:00,0.0,0.0,0.0
3,3,0.0,0.0,66.91,45.767385545336,2024-01-01 00:45:00+01:00,0.0,0.0,0.0
4,4,0.0,25.0,81.13,45.767385545336,2024-01-01 01:00:00+01:00,2.02825,0.0,2.02825
5,5,0.0,0.0,50.0,18.651078318004,2024-01-01 01:15:00+01:00,0.0,0.0,0.0
6,6,0.0,0.0,50.0,18.651078318004,2024-01-01 01:30:00+01:00,0.0,0.0,0.0
7,7,0.0,0.0,50.0,18.651078318004,2024-01-01 01:45:00+01:00,0.0,0.0,0.0
8,8,0.0,0.0,50.0,18.651078318004,2024-01-01 02:00:00+01:00,0.0,0.0,0.0
9,9,0.0,0.0,73.66,18.651078318004,2024-01-01 02:15:00+01:00,0.0,0.0,0.0
10,10,0.0,0.0,-8.81,18.651078318004,2024-01-01 02:30:00+01:00,-0.0,-0.0,0.0
11,11,0.0,0.0,50.0,18.651078318004,2024-01-01 02:45:00+01:00,0.0,0.0,0.0
12,12,0.0,17.1954445729289,78.11,18.651078318004,2024-01-01 03:00:00+01:00,1.3431361755914764,0.0,1.3431361755914764
13,13,0.0,0.0,64.9,0.0,2024-01-01 03:15:00+01:00,0.0,0.0,0.0
14,14,0.0,0.0,-17.8,0.0,2024-01-01 03:30:00+01:00,-0.0,-0.0,0.0
15,15,0.0,0.0,50.0,0.0,2024-01-01 03:45:00+01:00,0.0,0.0,0.0
16,16,0.0,0.0,50.0,0.0,2024-01-01 04:00:00+01:00,0.0,0.0,0.0
17,17,0.0,0.0,28.05,0.0,2024-01-01 04:15:00+01:00,0.0,0.0,0.0
18,18,0.0,0.0,50.0,0.0,2024-01-01 04:30:00+01:00,0.0,0.0,0.0
19,19,0.0,0.0,-8.81,0.0,2024-01-01 04:45:00+01:00,-0.0,-0.0,0.0
20,20,0.0,0.0,28.05,0.0,2024-01-01 05:00:00+01:00,0.0,0.0,0.0
21,21,8.8235294117647,0.0,-27.32,0.0,2024-01-01 05:15:00+01:00,-0.0,-0.2410588235294116,0.2410588235294116
22,22,25.0,0.0,-30.3,8.1348921681996,2024-01-01 05:30:00+01:00,-0.0,-0.7575,0.7575
23,23,25.0,0.0,-28.42,31.1837533114318,2024-01-01 05:45:00+01:00,-0.0,-0.7105,0.7105
24,24,0.0,0.0,50.0,54.232614454664,2024-01-01 06:00:00+01:00,0.0,0.0,0.0
25,25,0.0,0.0,27.07,54.232614454664,2024-01-01 06:15:00+01:00,0.0,0.0,0.0
26,26,0.0,25.0,77.11,54.232614454664,2024-01-01 06:30:00+01:00,1.92775,0.0,1.92775
27,27,0.0,0.0,73.66,27.116307227332,2024-01-01 06:45:00+01:00,0.0,0.0,0.0
28,28,0.0,25.0,86.13,27.116307227332,2024-01-01 07:00:00+01:00,2.15325,0.0,2.15325
29,29,0.0,0.0,50.0,0.0,2024-01-01 07:15:00+01:00,0.0,0.0,0.0
30,30,25.0,0.0,-29.99,0.0,2024-01-01 07:30:00+01:00,-0.0,-0.74975,0.74975
31,31,0.0,0.0,64.32,23.0488611432322,2024-01-01 07:45:00+01:00,0.0,0.0,0.0
32,32,0.0,0.0,50.0,23.0488611432322,2024-01-01 08:00:00+01:00,0.0,0.0,0.0
33,33,25.0,0.0,-55.88,23.0488611432322,2024-01-01 08:15:00+01:00,-0.0,-1.397,1.397
34,34,25.0,0.0,-60.7,46.0977222864644,2024-01-01 08:30:00+01:00,-0.0,-1.5175,1.5175
35,35,25.0,0.0,-166.18,69.1465834296967,2024-01-01 08:45:00+01:00,-0.0,-4.1545,4.1545
36,36,25.0,0.0,-45.56,92.1954445729289,2024-01-01 09:00:00+01:00,-0.0,-1.139,1.139
37,37,0.0,0.0,28.05,115.244305716161,2024-01-01 09:15:00+01:00,0.0,0.0,0.0
38,38,0.0,0.0,-8.81,115.244305716161,2024-01-01 09:30:00+01:00,-0.0,-0.0,0.0
39,39,0.0,0.0,-14.87,115.244305716161,2024-01-01 09:45:00+01:00,-0.0,-0.0,0.0
40,40,0.0,0.0,-8.81,115.244305716161,2024-01-01 10:00:00+01:00,-0.0,-0.0,0.0
41,41,0.0,0.0,-8.81,115.244305716161,2024-01-01 10:15:00+01:00,-0.0,-0.0,0.0
42,42,0.0,0.0,-17.19,115.244305716161,2024-01-01 10:30:00+01:00,-0.0,-0.0,0.0
43,43,0.0,0.0,-17.19,115.244305716161,2024-01-01 10:45:00+01:00,-0.0,-0.0,0.0
44,44,0.0,0.0,-8.81,115.244305716161,2024-01-01 11:00:00+01:00,-0.0,-0.0,0.0
45,45,0.0,0.0,-9.51,115.244305716161,2024-01-01 11:15:00+01:00,-0.0,-0.0,0.0
46,46,20.9465357965542,0.0,-28.42,115.244305716161,2024-01-01 11:30:00+01:00,-0.0,-0.5953005473380705,0.5953005473380705
47,47,0.0,0.0,-8.81,134.556057516422,2024-01-01 11:45:00+01:00,-0.0,-0.0,0.0
48,48,0.0,0.0,-8.81,134.556057516422,2024-01-01 12:00:00+01:00,-0.0,-0.0,0.0
49,49,0.0,0.0,30.06,134.556057516422,2024-01-01 12:15:00+01:00,0.0,0.0,0.0
50,50,0.0,0.0,27.43,134.556057516422,2024-01-01 12:30:00+01:00,0.0,0.0,0.0
51,51,0.0,0.0,32.16,134.556057516422,2024-01-01 12:45:00+01:00,0.0,0.0,0.0
52,52,0.0,0.0,32.16,134.556057516422,2024-01-01 13:00:00+01:00,0.0,0.0,0.0
53,53,0.0,0.0,-20.84,134.556057516422,2024-01-01 13:15:00+01:00,-0.0,-0.0,0.0
54,54,0.0,0.0,-20.72,134.556057516422,2024-01-01 13:30:00+01:00,-0.0,-0.0,0.0
55,55,0.0,16.5545554270711,72.79,134.556057516422,2024-01-01 13:45:00+01:00,1.2050060895365053,0.0,1.2050060895365053
56,56,0.0,0.0,29.24,116.600121077528,2024-01-01 14:00:00+01:00,0.0,0.0,0.0
57,57,0.0,0.0,29.24,116.600121077528,2024-01-01 14:15:00+01:00,0.0,0.0,0.0
58,58,0.0,0.0,29.24,116.600121077528,2024-01-01 14:30:00+01:00,0.0,0.0,0.0
59,59,0.0,0.0,29.24,116.600121077528,2024-01-01 14:45:00+01:00,0.0,0.0,0.0
60,60,0.0,0.0,27.12,116.600121077528,2024-01-01 15:00:00+01:00,0.0,0.0,0.0
61,61,0.0,25.0,86.13,116.600121077528,2024-01-01 15:15:00+01:00,2.15325,0.0,2.15325
62,62,0.0,25.0,105.53,89.4838138501956,2024-01-01 15:30:00+01:00,2.63825,0.0,2.63825
63,63,0.0,25.0,121.12,62.3675066228636,2024-01-01 15:45:00+01:00,3.028,0.0,3.028
64,64,0.0,0.0,50.0,35.2511993955316,2024-01-01 16:00:00+01:00,0.0,0.0,0.0
65,65,0.0,0.0,50.0,35.2511993955316,2024-01-01 16:15:00+01:00,0.0,0.0,0.0
66,66,0.0,0.0,81.13,35.2511993955316,2024-01-01 16:30:00+01:00,0.0,0.0,0.0
67,67,0.0,0.0,86.57,35.2511993955316,2024-01-01 16:45:00+01:00,0.0,0.0,0.0
68,68,0.0,0.0,62.84,35.2511993955316,2024-01-01 17:00:00+01:00,0.0,0.0,0.0
69,69,0.0,0.0,95.16,35.2511993955316,2024-01-01 17:15:00+01:00,0.0,0.0,0.0
